ID,Date,Product,Region,Store_Type,Price,Discount,Marketing_Spend,Sales,no of units sold,season
1,01-01-2020,Microwave,West,Online,36875.18,0.24,1804.81,116544.77,3,Winter
2,02-01-2020,Ceiling_Fan,South,Online,25658.5,0.27,4304.01,27429.67,1,Winter
3,03-01-2020,Air_Conditioner,East,Online,24877.62,0.35,2719.82,33502.74,1,Winter
4,04-01-2020,Ceiling_Fan,East,Retail,45214.42,0.12,2742.58,108960.81,2,Winter
5,05-01-2020,Ceiling_Fan,North,Online,38686.12,0.14,4894.64,284137.66,7,Winter
6,06-01-2020,Washing_Machine,North,Retail,38009.06,0.06,4762.02,56115.85,1,Winter
7,07-01-2020,Air_Conditioner,North,Online,11835.3,0.07,2113.4,40596.58,3,Winter
8,08-01-2020,Air_Conditioner,North,Online,58895.28,0.24,1132.61,48859.35,1,Winter
9,09-01-2020,Air_Conditioner,East,Online,21030.25,0.32,1965.5,103831.43,5,Winter
10,10-01-2020,Ceiling_Fan,West,Online,19771.52,0.14,637.17,111929.46,6,Winter
11,11-01-2020,Microwave,West,Retail,35956.87,0.06,593.46,229999.91,6,Winter
12,12-01-2020,Air_Conditioner,South,Retail,22083.38,0.1,2279.85,86842.9,4,Winter
13,13-01-2020,Water_Purifier,West,Retail,48789.37,0.16,4734.59,117802.16,2,Winter
14,14-01-2020,Ceiling_Fan,East,Retail,32859.75,0.1,4421.11,221297.07,7,Winter
15,15-01-2020,Washing_Machine,East,Online,38668.38,0.08,2801.49,295273.91,8,Winter
16,16-01-2020,Microwave,East,Online,45287.7,0.26,3043.52,75317.34,2,Winter
17,17-01-2020,Water_Purifier,South,Retail,20265.16,0,526.7,109056.25,5,Winter
18,18-01-2020,Water_Purifier,North,Retail,16681.37,0.19,1469.76,43757.52,3,Winter
19,19-01-2020,Washing_Machine,West,Online,71031.64,0.28,611.48,128519.85,2,Winter
20,20-01-2020,Microwave,East,Online,37529.28,0.09,3895.43,259857.4,7,Winter
21,21-01-2020,Ceiling_Fan,East,Retail,35907.02,0.21,1155.41,165742.11,5,Winter
22,22-01-2020,Refrigerator,North,Retail,7670.91,0.23,4410.71,17398.88,2,Winter
23,23-01-2020,Microwave,East,Retail,42348.22,0.23,3394.96,123584.81,3,Winter
24,24-01-2020,Washing_Machine,West,Online,46562.73,0.16,1532.38,379388.55,8,Winter
25,25-01-2020,Water_Purifier,South,Retail,46913.07,0.12,1209.74,356611.68,8,Winter
26,26-01-2020,Ceiling_Fan,East,Retail,58027.34,0.29,3324.31,367479,6,Winter
27,27-01-2020,Microwave,West,Retail,18311.14,0.27,4553.77,68708.51,4,Winter
28,28-01-2020,Refrigerator,East,Retail,23916.74,0.11,3732.62,140790.58,6,Winter
29,29-01-2020,Refrigerator,North,Retail,65804.78,0.04,2068.46,277385.13,4,Winter
30,30-01-2020,Air_Conditioner,East,Online,76037.8,0.03,3143.23,125342.65,2,Winter
31,31-01-2020,Air_Conditioner,East,Retail,15194.96,0.03,1898.43,67941.76,4,Winter
32,01-02-2020,Washing_Machine,South,Online,42323.72,0.2,4996.17,214863.2,5,Winter
33,02-02-2020,Microwave,North,Retail,21063.22,0.02,3869.78,73986.93,4,Winter
34,03-02-2020,Microwave,North,Retail,9505.49,0.12,3264.72,72201.5,8,Winter
35,04-02-2020,Water_Purifier,South,Retail,29412.75,0.26,2404.67,51364.28,2,Winter
36,05-02-2020,Water_Purifier,East,Online,15776.57,0.1,3281.69,61114.42,4,Winter
37,06-02-2020,Water_Purifier,West,Online,58244.98,0.27,2037.27,90315.75,2,Winter
38,07-02-2020,Air_Conditioner,North,Online,45029.41,0.26,629.89,154729.25,3,Winter
39,08-02-2020,Microwave,North,Retail,15787.59,0.09,2277.9,19494.93,1,Winter
40,09-02-2020,Microwave,East,Retail,5693.12,0.26,4687.16,14546.94,3,Winter
41,10-02-2020,Refrigerator,East,Online,65611.78,0.26,3318.35,223663.79,3,Winter
42,11-02-2020,Air_Conditioner,North,Online,18214.58,0.14,877.8,83076.7,5,Winter
43,12-02-2020,Ceiling_Fan,East,Retail,50466.25,0.07,4482.47,276592.32,5,Winter
44,13-02-2020,Air_Conditioner,West,Online,30269.14,0.18,1709.94,86249.93,3,Winter
45,14-02-2020,Ceiling_Fan,North,Retail,48911.45,0.32,1596.96,189825.97,4,Winter
46,15-02-2020,Refrigerator,West,Online,28674.02,0.22,1836.91,124824.1,4,Winter
47,16-02-2020,Washing_Machine,West,Online,11520.47,0.06,3097.41,41644.96,4,Winter
48,17-02-2020,Microwave,East,Online,21721.25,0.24,2951.1,139853.79,6,Winter
49,18-02-2020,Refrigerator,West,Retail,19104.39,0.15,2711.36,95983.41,5,Winter
50,19-02-2020,Microwave,East,Retail,37101.45,0.21,3728.92,116960.01,3,Winter
51,20-02-2020,Water_Purifier,South,Online,54371.28,0.26,1924.42,383278.08,7,Winter
52,21-02-2020,Washing_Machine,East,Retail,24785.46,0.18,4019.29,174909.25,7,Winter
53,22-02-2020,Washing_Machine,West,Retail,5905.25,0.28,1288.95,41851.5,7,Winter
54,23-02-2020,Refrigerator,South,Retail,43920.3,0.25,4021.79,238161.28,5,Winter
55,24-02-2020,Washing_Machine,East,Retail,50431.96,0.22,3487.15,173240.08,3,Winter
56,25-02-2020,Ceiling_Fan,West,Online,77215.29,0.05,3574.44,258776.13,3,Winter
57,26-02-2020,Washing_Machine,North,Retail,49210.31,0.29,2666.99,243522.19,5,Winter
58,27-02-2020,Microwave,North,Retail,40337.94,0.33,3501.51,265598.07,7,Winter
59,28-02-2020,Microwave,East,Online,48005.12,0.05,859.09,302836.17,6,Winter
60,29-02-2020,Microwave,East,Retail,74592.55,0.17,4331.98,553153.26,7,Winter
61,01-03-2020,Microwave,North,Retail,67128.36,0.09,749.96,242021.71,4,Summer
62,02-03-2020,Ceiling_Fan,West,Retail,29223.41,0.26,1169.34,100829.89,3,Summer
63,03-03-2020,Air_Conditioner,West,Online,22794.08,0.25,3095.55,156535.1,7,Summer
64,04-03-2020,Water_Purifier,West,Online,24697.52,0.05,3827.35,183285.49,7,Summer
65,05-03-2020,Refrigerator,East,Retail,42831.58,0.31,843.13,290593.34,7,Summer
66,06-03-2020,Microwave,South,Retail,60803.71,0.06,4643.44,455693.72,7,Summer
67,07-03-2020,Washing_Machine,South,Online,42741.44,0.28,4881.23,154996.78,4,Summer
68,08-03-2020,Microwave,South,Online,10084.73,0.16,3226.78,48960.1,5,Summer
69,09-03-2020,Washing_Machine,South,Online,59268.55,0.11,2665.6,480260.71,8,Summer
70,10-03-2020,Water_Purifier,South,Retail,65447.76,0.06,3836.28,366961.1,6,Summer
71,11-03-2020,Water_Purifier,East,Retail,26712.34,0.06,1977.61,82825.93,3,Summer
72,12-03-2020,Water_Purifier,East,Online,54809.43,0.23,2719.69,207664.45,4,Summer
73,13-03-2020,Washing_Machine,South,Retail,36994.39,0.19,4622.68,169210.25,5,Summer
74,14-03-2020,Microwave,East,Retail,71683.95,0.04,4800.45,128719.96,2,Summer
75,15-03-2020,Water_Purifier,East,Retail,68391.92,0.04,4671.81,505150.21,7,Summer
76,16-03-2020,Ceiling_Fan,South,Retail,44407.4,0.03,1681.02,85469.14,2,Summer
77,17-03-2020,Washing_Machine,West,Retail,56862.92,0.26,1546.11,195423.75,3,Summer
78,18-03-2020,Washing_Machine,East,Retail,71251.23,0.25,1839.49,440418.21,6,Summer
79,19-03-2020,Microwave,West,Retail,42178.78,0.02,2485.9,215279.25,5,Summer
80,20-03-2020,Washing_Machine,East,Online,28493.81,0.2,1913.75,195539.11,7,Summer
81,21-03-2020,Washing_Machine,East,Online,61524.96,0.03,2183.96,243308.08,4,Summer
82,22-03-2020,Water_Purifier,South,Online,21504.97,0.32,3292.87,140658.29,7,Summer
83,23-03-2020,Microwave,East,Online,34139.84,0.32,3931.37,66980.55,2,Summer
84,24-03-2020,Water_Purifier,North,Online,69929.54,0.24,3810.01,71448.88,1,Summer
85,25-03-2020,Water_Purifier,North,Online,59331.68,0.32,4164.91,357132.24,6,Summer
86,26-03-2020,Microwave,South,Online,35285.83,0.28,644.83,197398.59,6,Summer
87,27-03-2020,Refrigerator,West,Online,21105.84,0.29,714.8,46271.95,2,Summer
88,28-03-2020,Water_Purifier,West,Online,31697.63,0.2,4052.22,250098.72,8,Summer
89,29-03-2020,Ceiling_Fan,West,Retail,26307.81,0.11,2898.85,129257.21,5,Summer
90,30-03-2020,Ceiling_Fan,North,Retail,18206.7,0.08,3101.63,160124.68,9,Summer
91,31-03-2020,Washing_Machine,West,Online,60749.97,0.11,736.64,299818.14,5,Summer
92,01-04-2020,Ceiling_Fan,West,Retail,23905.24,0.22,1648.91,117400.344,5,Summer
93,02-04-2020,Washing_Machine,South,Retail,39062.56,0.06,3372.59,222174.348,6,Summer
94,03-04-2020,Refrigerator,West,Online,33939.46,0.09,4366.32,148761.888,4,Summer
95,04-04-2020,Microwave,North,Online,78655.8,0.16,4626.43,460115.976,6,Summer
96,05-04-2020,Microwave,North,Online,34331.92,0.08,2751.89,192278.772,6,Summer
97,06-04-2020,Microwave,North,Retail,10998.69,0.21,2954.63,13875.12,1,Summer
98,07-04-2020,Ceiling_Fan,South,Retail,11736.93,0.32,4248.72,32025.816,3,Summer
99,08-04-2020,Refrigerator,South,Online,49306.53,0.26,2919.31,127766.892,3,Summer
100,09-04-2020,Ceiling_Fan,East,Retail,49952.27,0.23,2825.86,406491.312,8,Summer
101,10-04-2020,Ceiling_Fan,West,Retail,36406.92,0.2,4572.88,223328.664,6,Summer
102,11-04-2020,Refrigerator,South,Retail,37388.28,0.17,4054.7,293186.004,8,Summer
103,12-04-2020,Refrigerator,North,Online,9044.94,0.07,4590.83,97019.292,11,Summer
104,13-04-2020,Refrigerator,North,Retail,43740.99,0.31,1482.11,246147.204,6,Summer
105,14-04-2020,Refrigerator,South,Retail,42855.46,0.09,2859.69,460657.236,11,Summer
106,15-04-2020,Microwave,South,Retail,16216.2,0.03,4291.12,71838.42,4,Summer
107,16-04-2020,Air_Conditioner,South,Retail,12787.95,0.26,1000.17,30392.448,2,Summer
108,17-04-2020,Air_Conditioner,East,Retail,14267.94,0.06,4075.98,74512.92,5,Summer
109,18-04-2020,Refrigerator,North,Retail,12577.12,0.13,1323.38,68767.056,5,Summer
110,19-04-2020,Air_Conditioner,East,Retail,50728.11,0.01,4136.53,545895.624,11,Summer
111,20-04-2020,Air_Conditioner,East,Online,19736.2,0.05,3254,135883.524,7,Summer
112,21-04-2020,Refrigerator,West,Online,23857.26,0.06,1369.56,97676.904,4,Summer
113,22-04-2020,Air_Conditioner,North,Retail,18017.91,0.02,2630.09,162810.576,9,Summer
114,23-04-2020,Ceiling_Fan,North,Online,76837.65,0.23,3568.57,394215.444,5,Summer
115,24-04-2020,Washing_Machine,South,Retail,69096.31,0.29,3352.34,144772.512,2,Summer
116,25-04-2020,Washing_Machine,South,Retail,22287.11,0.13,2422.61,144059.388,6,Summer
117,26-04-2020,Refrigerator,West,Retail,29567.47,0.31,4547.15,225295.608,8,Summer
118,27-04-2020,Microwave,East,Online,20741.96,0.07,2836.69,198693.492,10,Summer
119,28-04-2020,Refrigerator,South,Retail,41890.7,0.11,2776.4,281020.308,7,Summer
120,29-04-2020,Microwave,South,Retail,6470.79,0.05,780.13,32411.364,5,Summer
121,30-04-2020,Washing_Machine,North,Online,55352.6,0.22,4649.54,92367.384,2,Summer
122,01-05-2020,Refrigerator,North,Online,44236.86,0.15,1297.02,235843.38,5,Summer
123,02-05-2020,Water_Purifier,South,Retail,72397.92,0.21,2877.55,533191.98,7,Summer
124,03-05-2020,Ceiling_Fan,North,Online,17329.45,0.27,4116.05,64403.136,4,Summer
125,04-05-2020,Air_Conditioner,West,Online,65308.19,0.19,1469.54,197994.108,3,Summer
126,05-05-2020,Microwave,South,Retail,64397.08,0.22,2873.18,565531.476,9,Summer
127,06-05-2020,Water_Purifier,North,Retail,14538.59,0.33,1583.08,98117.7,7,Summer
128,07-05-2020,Air_Conditioner,West,Retail,34891.94,0.1,3918.63,254154.252,7,Summer
129,08-05-2020,Air_Conditioner,North,Online,17761.45,0.13,3039.54,41370.264,2,Summer
